,Country Code,year,pib,total_medals
372,CHN,1998,0.04044070008601749,8
373,CZE,1998,0.0026154260107842183,3
374,FIN,1998,0.0052582248139949935,12
375,FRA,1998,0.059075081356563405,9
376,GBR,1998,0.06499448315418425,1
377,ITA,1998,0.0499138605259052,11
378,JPN,1998,0.1610920771903048,10
379,KAZ,1998,0.0008594044106418099,2
380,KOR,1998,0.015057703017107706,6
381,NOR,1998,0.006051936734552154,25
382,RUS,1998,0.010640294379585703,22
383,SWE,1998,0.01063453874370646,3
384,UKR,1998,0.0016356513536797109,1
385,USA,1998,0.35624015944886844,15
386,ARG,2000,0.0111610711593299,5
387,ARM,2000,6.443047382622337e-05,1
388,AUS,2000,0.01634845460329323,69
389,AUT,2000,0.007744558563535875,4
390,AZE,2000,0.0001965502730121618,3
391,BEL,2000,0.009297377895494133,7
392,BLR,2000,0.0004899595774882802,17
393,BRA,2000,0.025754343033368175,16
394,CAN,2000,0.02926563211054929,16
395,CHI,2000,0.00024242739470644743,1
396,CHN,2000,0.047605598122049904,70
397,CMR,2000,0.0004046510083682385,1
398,COL,2000,0.0039152840844656695,1
399,CUB,2000,0.0011907858652397472,30
400,CZE,2000,0.0024196958508494997,9
401,ESP,2000,0.023510388507873653,12
402,EST,2000,0.00021282280997834204,3
403,ETH,2000,0.0003132877229270958,8
404,FIN,2000,0.004942998582023059,5
405,FRA,2000,0.05367130101168489,42
406,GBR,2000,0.06545990025453412,31
407,GEO,2000,0.00010947518506653892,6
408,HUN,2000,0.0018453998845773182,21
409,IND,2000,0.01840145371818797,1
410,IRL,2000,0.003928355741787413,1
411,ISL,2000,0.0003440789324999201,1
412,ISR,2000,0.00533672710811215,1
413,ITA,2000,0.0450640803307031,38
414,JAM,2000,0.0003432693275345675,9
415,JPN,2000,0.1952908171603548,19
416,KAZ,2000,0.00070832967267007,7
417,KEN,2000,0.0004887240796636424,7
418,KGZ,2000,4.3129869850195474e-05,1
419,KOR,2000,0.022638359227106247,31
420,LTU,2000,0.00044231685486780274,6
421,MAR,2000,0.0016802644667769596,5
422,MDA,2000,3.993565071007947e-05,2
423,MEX,2000,0.029159022546042527,6
424,MKD,2000,0.00013759624630959317,1
425,MOZ,2000,0.0002224183665991835,1
426,NOR,2000,0.0067291102586134,11
427,NZL,2000,0.0020578604858233203,4
428,POL,2000,0.006759112893329452,18
429,PRK,2000,0.0397870845854391,4
430,QAT,2000,0.000687413299771281,1
431,ROU,2000,0.0014536982090145533,30
432,RUS,2000,0.010198250443621762,93
433,SVK,2000,0.001138786220086847,6
434,SWE,2000,0.010321103529391775,13
435,THA,2000,0.004957648315799625,3
436,TTO,2000,0.0003098280780562745,2
437,TUR,2000,0.010771552691125796,5
438,UKR,2000,0.0012619228408679514,25
439,USA,2000,0.4029444256710657,102
440,UZB,2000,0.000530201580329324,4
441,AUS,2002,0.015547370574484886,2
442,AUT,2002,0.008416949527842745,17
443,BLR,2002,0.0005630005485883726,1
444,CAN,2002,0.02988969954130184,18
445,CHN,2002,0.05779552880681993,9
446,CZE,2002,0.003220336295532731,3
447,EST,2002,0.00027891691290124834,3
448,FIN,2002,0.00550845614916972,7
449,FRA,2002,0.05900828126102881,12
450,GBR,2002,0.07018465435260834,2
451,ITA,2002,0.05017789211694926,14
452,JPN,2002,0.1644130377860901,2
453,KOR,2002,0.024645776488698576,4
454,NOR,2002,0.007690517532036216,25
455,POL,2002,0.007814561051376647,2
456,RUS,2002,0.013569409334082256,15
457,SWE,2002,0.010478874668978778,7
458,USA,2002,0.4296024531646,37
459,ARG,2004,0.006461837283216399,8
460,AUS,2004,0.024150995163851188,56
461,AUT,2004,0.011839302303929529,8
462,AZE,2004,0.00033050729765585923,5
463,BEL,2004,0.01450277224153591,3
464,BLR,2004,0.0008989619354783005,15
465,BRA,2004,0.026298427322095135,13
466,CAN,2004,0.040347517590404995,14
467,CHI,2004,0.000325524387297315,4
468,CHN,2004,0.07685213350948603,74
469,CMR,2004,0.0007293294956174068,1
470,COL,2004,0.004592081614912287,2
471,CUB,2004,0.0014910127471846224,28
472,CZE,2004,0.004699081573389543,10
473,DOM,2004,0.0008667607819693363,1
474,EGY,2004,0.003086153499286856,5
475,ERI,2004,3.2884572760925276e-05,1
476,ESP,2004,0.042012863124524485,24
477,EST,2004,0.00046673308571038203,3
478,ETH,2004,0.00038753615649675366,7
479,FIN,2004,0.007752020150443252,2
480,FRA,2004,0.08331007808420703,36
481,GBR,2004,0.09517716513347563,37
482,GEO,2004,0.00019076199295277966,4
483,HKG,2004,0.00663644177934894,2
484,HUN,2004,0.004082180344448545,19
485,IND,2004,0.027865250710424755,1
486,ISR,2004,0.0054915016861931615,2
487,ITA,2004,0.07100279589567791,34
488,JAM,2004,0.0003892452198193152,5
489,JPN,2004,0.19233308274324246,39
490,KAZ,2004,0.0016855394125558558,8
491,KEN,2004,0.0006219812842373857,7
492,KOR,2004,0.031168275003557892,34
493,LTU,2004,0.0008787547652829337,3
494,MAR,2004,0.0025881736577148453,3
495,MEX,2004,0.03220146120544629,4
496,NOR,2004,0.010416750654525336,7
497,NZL,2004,0.004073704911007901,6
498,POL,2004,0.01001731515974495,12
499,PRK,2004,0.05146957739118507,5
500,ROU,2004,0.002936432729074635,21
501,RUS,2004,0.023221599667817092,95
502,SVK,2004,0.0022471006922060743,7
503,SWE,2004,0.015127917301406864,9
504,SYR,2004,0.004425840613332032,1
505,THA,2004,0.006785655682761998,8
506,TTO,2004,0.0005113238423740727,1
507,TUR,2004,0.016061404713137262,10
508,UKR,2004,0.0026316498213527543,23
509,USA,2004,0.4802356776134697,106
510,UZB,2004,0.0004621776273254493,5
511,VEN,2004,0.004409647625808993,2
512,AUS,2006,0.02940888009977846,2
513,AUT,2006,0.013208142160063241,24
514,BLR,2006,0.001442226047164207,1
515,CAN,2006,0.05184834917121264,26
516,CHN,2006,0.10817248803117828,13
517,CZE,2006,0.006131883522086608,4
518,EST,2006,0.0006584417474688083,3
519,FIN,2006,0.008522863983480192,10
520,FRA,2006,0.09120738786391148,9
521,GBR,2006,0.10645558324365662,1
522,ITA,2006,0.0766243355621634,13
523,JPN,2006,0.18087634367613656,1
524,KOR,2006,0.041390256134664814,11
525,NOR,2006,0.013626197807928116,20
526,POL,2006,0.01353623928718493,2
527,RUS,2006,0.038902588575778115,25
528,SVK,2006,0.002771086322297306,1
529,SWE,2006,0.016620694311829956,16
530,UKR,2006,0.004387373227162338,3
531,USA,2006,0.5430670345426983,27
532,AFG,2008,0.0003866756692166844,1
533,ARG,2008,0.014201795526176782,8
534,ARM,2008,0.0004477125677697408,5
535,AUS,2008,0.041504076200057485,52
536,AUT,2008,0.016972844462041285,3
537,AZE,2008,0.0019095871738681535,6
538,BEL,2008,0.02032496990752416,2
539,BLR,2008,0.002377396937144955,17
540,BRA,2008,0.06665175910654592,21
541,CAN,2008,0.0610358547089209,22
542,CHI,2008,0.07866995627058665,1
543,CHN,2008,0.18058835225436504,113
544,CMR,2008,0.0010787449018223034,1
545,COL,2008,0.00952189907066829,3
546,CUB,2008,0.0022024725322767717,30
547,CZE,2008,0.00929832231338667,8
548,DOM,2008,0.0018809429657856633,2
549,ECU,2008,0.0024171198692922676,1
550,EGY,2008,0.006389518492479806,2
551,ESP,2008,0.06413630981143911,25
552,EST,2008,0.0009461372241329782,3
553,ETH,2008,0.0010532636130858506,7
554,FIN,2008,0.011220528516854272,5
555,FRA,2008,0.11517677786952221,45
556,GBR,2008,0.11514171355363441,56
557,GEO,2008,0.0004922538380698853,7
558,HUN,2008,0.006212919894273755,12
559,IND,2008,0.047116730484993236,3
560,IRL,2008,0.010816870074409485,3
561,ISL,2008,0.00069978515354024,1
562,ISR,2008,0.008658157728757257,1
563,ITA,2008,0.09467126799159234,28
564,JAM,2008,0.0005281923979583803,10
565,JPN,2008,0.20072804797510227,26
566,KAZ,2008,0.005234754575176849,9
567,KEN,2008,0.0014002934622801314,16
568,KGZ,2008,0.00019133565826763717,3
569,KOR,2008,0.04115920142009477,35
570,LTU,2008,0.0018681655578698057,5
571,MAR,2008,0.003991851530695188,2
572,MDA,2008,0.00022729815540630384,1
573,MEX,2008,0.045648864154113164,5
574,NOR,2008,0.01826476101695279,9
575,NZL,2008,0.005222557802217336,11
576,PAN,2008,0.000978143053300492,1
